id,parent,reply,character
17028,You haven’t told me.,It’s called the wastepaper basket! Look at that! Look at that face.,Michael
17029,"Dwight K. Schrute. Why don’t you introduce me to your little friend? Hi, Dwight.","Babe alert! Hello, I’m Michael Scott, welcome to our little shindig.",Michael
17030,Michael! Michael!,Leave me al–,Michael
17031,I don’t know.,"Ok, I’ll buy you a bag of chips.",Jim
17032,Yeah… Who’s opening?,Paul Anka.,Jim
17033,"No, no, no, you don’t need to go anywhere. Anything that Jim has to say to me, he can say in front of these types of people.","That is not what I said, and, also, I am co-manager, meaning you are not the only manager anymore. I am also I co-manager.",Jim
17034,You’re a jerk.,I don’t know about that.,Michael
17035,"Okay. We’re going to table the hat question. The best ideas are going to come to me, I make the final decision, period.",Okay. We both reserve the right to go to Jo if we disagree with Gabe.,Michael
17036,"Okay, we’re going.","Okay, okay, we gotta go. All right, we’re going home, we’re going home. We’re going home, we’re going home. I know, I know, bud.",Jim
17037,No no no no no! She’ll wake up!,I have something to do.,Dwight
17038,I’m getting concerned that you don’t seem to understand what’s going to happen. Do you?,I– mmm– I’m good.,Michael
17039,"You let somebody talk to you like that, where does it stop?",It stopped.,Jim
17040,What do you say to a customer who wants to leave you for the convenience and savings of a nationwide chain?,"…I say you will miss our service, and I absolutely guarantee you’ll come back.",Michael
17041,"Here we go, sixty-five. You know what? There’s two more.","See ya, drive safely.",Michael
17042,"What do you say, Jim? Huh? Wanna play some soccer?","Jim, what do you say?",Dwight
17043,Who looks exactly like you.,That’s increadible.,Jim
17044,Michael.,Hey Jan.,Michael
17045,"You’ll always have the upper hand, when you’ve got a good a-arm. Trademark pending.","This is not an excuse to blow off work doing carnival-like activities. Sure, every participant will be getting a corndog, but that’s for fueling only. No savoring.",Jim
17046,Thank you so much. My daughter is going to love this.,"Oh, so glad I could help.",Dwight
17047,Somebody’s found the hog maw.,Oh!,Pam
17048,Okay! So…,Okay! So…,Michael
17049,"I know right? I just want to go, and look at art, and swim in the Adriatic.","And spend time with George Emerson. That’s what I would do. I mean it’s the best male protagonist we’ve read, right?",Pam
17050,The senator and I still have mystery. I’m always waiting to see what he’s gonna surprise me with next.,You all right?,Jim
17051,It was me!,What’s that?,Jim
17052,"Good. Alright I brought my brother, huh?","Hey, Kenny.",Pam
17053,"Okay, Michael. Um, you know I love when you do that voice, but today, I’m so sorry. I need you to tell me that you know you’re not Cece’s godfather.",Yeah.,Michael
17054,Good luck!,Thanks!,Jim
17055,You’re choking him!,Saving him!,Michael
17056,You guys should come over for dinner. You and Pam. That’d be fun. Friday?,That would be fun.,Jim
17057,Oh.,Pleasure.,Dwight
17058,"He has the award-ah! …it’s a type of song that we are going to play for the ladies. Hit it, Dwight!","A little bit of Paaam, all night long, a little bit of Angela on the thing…",Michael
17059,"But, do not worry. I have his home address right here.",Why?,Michael
17060,"And what a lot of people don’t understand about sales is that it has so much to do with organization. I have a system in place for keeping track of who I speak to, when I speak to them and what we have discussed. Etcetera.","That’s it? You’re going to end with “etcetera”? Okay, what’s this big organizational system that…",Michael
17061,"They’re gonna have… You can’t say that, all right?",I can’t say ?,Dwight
17062,We’re in the same High School class.,"Well, I have a late birthday and usually September’s a cut-off point. You know what? You just crossed the line. Okay? There’s a line and you went over it. And you must be punished. So go to your corner.",Michael
17063,Kelly’s helping?,Is that okay?,Pam
17064,This is Pam.,"Hey it’s me. So uh, don’t worry. Everything’s ok.",Jim
17065,"Michael, he made huge cuts.","Cuts? What? Wow, Dwight, did you make cuts?",Michael
17066,Kung-fu movies!,"You know what, I should have been doing? I should have been out at bars, finding my soul-mate, finding my wife, making babies –",Michael
17067,"Dammit, Michael!",We ought to have this thing serviced.,Michael
17068,Do you feel it?,Yeah. I can barely…,Dwight
17069,"You tell me. Well, you do mean you and Jim right? Oh God. I am so sorry, I thought, you guys hang out all the time and you’re talking all the time. I’m sorry!",That’s ok. It’s ok.,Pam
17070,You better fix this. I already ditched my uterus and I ain’t losing any more good parts.,You people don’t realize what you’re asking. I’d have to rip open the walls. We’d have to shut this place down for a week.,Dwight
17071,"So you know my job has something to do with sports, but you don’t know the end of the word “Philadelphia”?","Philadelphia. From the greek phila meaning “Love,” and adelph, meaning “Adolf.” “the city that loves Adolf.” Good luck with your new enterprise and don’t wear the blue striped shirt. It makes your neck look like an old mop handle.",Dwight
17072,"Why would you say that? I meant 4 apple, 4 blueberry, 2 cherry, 1 peach and 1 chocolate. I thought that was implied.","Yeah, OK then.",Pam
17073,Aren’t you the guy that hit the woman with your car?,...,Pam
17074,"Yes, but David Wallace does. And he asked me to gather everyone to talk about stuff… That’s gonna be revealed once we’re in the conference room for the meeting.","You’re telling me, David Wallace asked you to call a super secret, classified conference room meeting?",Dwight
17075,"I… love it!! Haha, come on!",Come on!,Dwight
17076,I am not bluffing!,Okay.,Michael
17077,Is that a lump of coal?,Yes it is!,Michael
17078,"Michael, that seems impossible.",It’s totally impossible!,Michael
17079,And tell him the joke.,I will.,Dwight
17080,A hat with no blood in it?,That is full of soup.,Michael
17081,Why is that?,“Bend It Like Beckham.”,Michael
17082,Fifty.,Double it. Double everything. Double ice cream. Double napkins. Double it. On me.,Michael
17083,I heard your momma had more bacteria per square inch than a toilet seat.,"That’s true, that’s true. I dated her momma, and you know what-",Michael
17084,Hello?,Hey! Back here.,Jim
17085,I have recently taken a lover.,"Well, that’s great. Congratulations. Who’s the lucky lady?",Jim
17086,"All right, I’ll be right back.",Whoo!,Dwight
17087,And YOU will not be pleased with the result!,And your affiliation with Cornell –,Dwight
17088,"Yeah, no, it’s nobody.",I don’t know. I think Michael has a date.,Pam
17089,"I want you to look at me and tell me what is wrong with me. Don’t avoid this. I know you’re dying to say it, so just say it.",Sometimes your laziness borders on incompetence.,Pam
17090,You didn’t eat much there Jimbo.,Oh initially I did.,Jim
17091,We’re so alike. So alike.,What are you doing?,Pam
17092,"Really funny, Michael!","All right, all right, I’m on a roll.",Michael
17093,"Wait Pam! How did he seem? Like, you know, did he seem disappointed?","You know, there are a lot of guys out there who would just love and appreciate a-",Pam
17094,It’s a good market. Higher volume.,Yeah. Maybe we should both go.,Jim
17095,How’s your wife doing?,...,Michael
17096,OK. Hang on just a second. Let me just settle in and I’ll be right back.,"Very good, very good. Now, no one was there in the wine cellar.",Michael
17097,"Yeah! Wow, I didn’t expect that. It’s good to see you too!","Oh, hey, how’s it going up there? Have you made any sales yet?",Dwight
17098,Found him!,"Jim, we’re getting crapped on. Word is that our branch sucks, and we have to do something about it.",Michael
17099,Mmm! Ugh!,Good morning.,Dwight
17100,"Oh, my God.","Yeah, I’m glad you said something.",Pam
17101,That’s my go-to thermos. That’s all.,"Oh. It’s your go-to therm. Oh, man. That’s a bummer. I’m sorry about that.",Jim
17102,"Uh wait, are you a robot or a Martian?","Mmm… dah. I am actually your boss, Michael Scott. Welcome. Wow! You are very exotic looking. Was your dad a G.I. or uh?",Michael
17103,"I, uh… I am going to be a father.",What was Oprah about?,Pam
17104,"I hope that you are willing to die in this office, because I am…",Me too…,Pam
17105,No he doesn’t. You just get so nervous and hyper around him.,I know.,Pam
17106,"Coming out, is a significant moment for a gay person, and they should be allowed to select the timing and manner of announcing it.","Well, gay pride, right? Gay pride parade? It’s not like gay… shame festival.",Michael
17107,"That feels good, Dwight.",Tell me where it hurts.,Dwight
17108,Yeah.,For a lot of reasons.,Jim
17109,It says here you cater to the eldery.,Where did you read that?,Dwight
17110,"Happy Halloween, everyone! Oh… that’s great!",Hey… Happy Halloween. Jan called.,Pam
17111,Yeah? Who did you have?,"Well, I can’t tell you cause it’s a secret.",Jim
17112,"Hey, can I talk to you guys for a second?","We’re not hiring, Jim.",Michael
17113,What are you– What are you doing?,We search for the organs. Where’s the heart? The precious heart.,Dwight
17114,Mama.,"Hey, you want me to take the little diaper blaster? Pam can attest, there’s no one better at getting brats to shut their yaps.",Dwight
17115,"Well, today was a fantastic waste of time.","I disagree, I think it was very valuable.",Michael
17116,Check to see if there is a conversion chart in that notebook.,"I really doubt it, Michael.",Pam
17117,"I might have extra, it just depends on how many I eat.",Did you hear about Angela? That’s pretty weird.,Michael
17118,"And this is, don’t tell me, Martin… Ne… Ne…Nack.",Nash.,Dwight
17119,I have to see these shoes.,I doubt that they’re sh-,Jim
17120,"Yeah, but I’m still an employee here, and that part of me is really excited about the change of scenery. What’s the square footage in the new place?","Uhh, I think it’s something like umm…",Pam
17121,"No, I didn’t.","I, uh… I am going to be a father.",Michael
17122,You writing your name over there?,"Well, it’s a pretty big check.",Michael
17123,"Wow, that’s great, because I need paper.","Excellent, then you are in luck, because we are having a limited-time offer only on everything.",Dwight
17124,Sorry.,That’s fine.,Jim
17125,"All right, next suggestion.",Next suggestion.,Dwight
17126,"Gosh, well so long.",I look forward to hearing from you about that job application.,Dwight
17127,What are you talking about?,"Uh, someone forged, uh, medical information and that is a felony.",Dwight
17128,Hey. Who wants to watch Michael’s pond dive? My roommate’s friend is the night janitor over there. He swiped the security tape for me and he’s bringing it over.,"Mm… I’m, know what? Maybe we should go easy on Michael, guys. You know, you watch that tape and you’re gonna have to stay late for more sensitity training, so…",Jim
17129,Not much we can do about this until he gets here.,Can’t you do something about this?,Jim
17130,You’re into trains?,I have been my whole life.,Dwight
17131,Why? Why?,Because my car broke down.,Jim
17132,"It was pretty uneventful, actually.",Can’t believe they let someone like you serve on a jury. Makes me question the whole judicial system.,Dwight
17133,"Oh, yeah, this is the part where Kevin sat in front of the camcorder all night. It’s great.","…a little bit of Roooy eating chicken crispers… …a little bit of Jim with some ribs, a little bit of…",Michael
17134,"Thank you, Jim is with me.","Absolutely not, I’m mad at you.",Jim
17135,"So, Angela is stubborn as a mule, she’s giving off fairly strong vibes that she’s not interested.",...,Dwight
17136,Right.,Hello. I don’t believe we’ve been introduced. Dwight Schrute. Assistant Regional Manager.,Dwight
17137,Cable’s out.,What? Really? That stinks!,Michael
17138,Okay. Just want to let you know I take complaints very seriously. So… When did this happen?,One minute ago.,Dwight
17139,"Just don’t, don’t talk-",…for people’s behavior.,Dwight
17140,Ahh. Aaaah.,You should… floss.,Michael
17141,"No, I’m not gonna do that.","Uh, yes, I’m in charge. You have to. Look it up.",Dwight
17142,Now you move on.,"Okay, fine. I’ve moved on. Now how do I get her back?",Dwight
17143,"Can I do it, Pam? Can I put off a gold Arabian sandal?",Um… yes. Definitely. With your hair –,Pam
17144,Hey.,"Hey, everybody. Um, I decided to eat my cupcake. I thought about it last night. I talked to Jim. I talked to my sister. And, I think that, as long as Todd Packer doesn’t know, it’s OK.",Pam
17145,"Okay, this is an outrage. Ugh! You know what? This is Jim Halpert’s home address, in case you guys wanna toilet paper his house or whatever.",That seems inconsiderate.,Jim
17146,Sorry Sugar. What’d you want?,"Well, you see, I actually do have a meeting. With a client. I’m just gonna reschedule for next week.",Dwight
17147,"…Oh, here it is. Yep.",Oh.,Michael
17148,Not maybe. Yes or no.,"Well, no. But… okay, don’t spoil it for everybody, all right? But we are going on a booze cruise on Lake Wallenpaupack.",Michael
17149,Oh it is on like Genghis Khan wearing Sean Jean in Buton.,"Yes. You guys, I have the perfect idea. Ok, it will just take me ten minutes.",Pam
17150,Yeah I make originals too.,Shut up!,Pam
17151,I’m not really sure what movie you’re talking about. Are you sure you got the title right?,Titanic?,Michael
17152,"No it was not. Remind me again, what was the fight exactly, who was it between, and what was the outcome?",It was the warehouse guys…,Michael
17153,"Was it, like, trickery in the lights, or maybe you were so primed to see it, then there it was?",I saw a ghost.,Pam
17154,"Umm, no, she’s a professional softball player.",Oooo. Catcher or in field?,Michael
17155,You remind me so much of my fourth-biggest client.,Is that right?,Pam
17156,"Well, I’ll be the judge of that. What do you got?","Okay. I lost my engagement ring in ceramics class. Left it in my smock. I had this whole thing where I go back to class, wrongly accuse another girl. Look I even used makeup to put a ring around my finger, you can hardly see it, it’s very subtle.",Pam
17157,"I’m just gonna grab some chips, you want some?","No. Thanks… uh we’re still having lunch today, right?",Pam
17158,"Hi, can I help you?","Yes, you can. I am, uh, Michael Scott, Regional Manager of the Scranton branch.",Michael
17159,...,Come here.,Pam
17160,"So, how did Oscar sound when he called in?","Sick, like lots of sniffling. I don’t know.",Pam
17161,"Oh, no. What’s wrong?",You know what? That’s private.,Jim
17162,Fail!,I deserved that.,Jim
17163,"I know, I know.",…in your condo complex.,Jim
17164,Yeah.,You ok?,Michael
17165,So the monkey does the sex thing right here!,That’s funny! That’s funny. Not offensive. Uh… because it’s nature. Educational.,Michael
17166,Hm. Don’t listen to her. She’s just jealous ’cause she doesn’t get to come home to someone as cute as you.,"Huh, you think she is jealous about having a baby?",Jim
17167,"Um, I work at a place that does catalogs for community colleges and small businesses.",You must use a lot of paper.,Dwight
17168,Are you still mad at me?,Roy…,Pam
17169,And Gabe-y makes three.,"Robert, thank you. Thank you for this. Thank you for all this. This night’s been magical.",Jim
17170,This is weird.,You know what this is? This is a stinger.,Michael
17171,"Yeah, it was great.","Good, good. Good to see you. Have fun. Enjoy the partay.",Michael
17172,… so I was hoping to be made Assistant Regional Manager officially.,"If you left, I wouldn’t have to fire anybody.",Michael
17173,They have some great kitchen ideas.,"Oh. Okay. Ed’s Tires, huh?",Michael
17174,Yup.,Let me see.,Dwight
17175,"You know, it’s getting real crowded in here. Maybe you guys should all go back to work because the day’s not out yet.","No, no, no, no, no. You know what? You can’t tell us what to do because you are not co-manager anymore.",Michael
17176,Pam failed art school.,"Oh, well, doesn’t surprise me.",Dwight
17177,"If he is your son, that’s a great plan. But he’s not. He’s not your son.",Very well.,Dwight
17178,Hot tamales.,Yeah.,Pam
17179,Yeah.,But I really think you should reconsider.,Pam
17180,"Oh, my God. What are we gonna do?","I don’t know. I don’t know. I don’t know what the best play is. Do we tear everything up, or do we buy a horse on the Internet? I mean, I don’t know what to do. What do you think?",Jim
17181,What?,But this isn’t interim manager. No. It’s Dwight K. Schrute… Manager.,Dwight
17182,That was… I went to Costa Rica for a few months. What is going on?,"No, that was… that was legitimate. That was totally legitimate.",Michael
17183,"Oh, my God. Are you serious?",There’s gonna be a free room?,Michael
17184,"Michael, you have to take responsibility here. One of your employees had a heart attack. He could have died, because of the way that you are allowing your office to run. Do you want that on your conscious?",Do you?,Michael
17185,"Alright, that’s enough, ‘cause I can say some things about him too.",Yeah? Like what?,Dwight
17186,"Oh, I can’t do lunch. I was just sending you an email. Jim and I need to leave early today to meet with our contractor.","Oh, really? Ok.",Michael
17187,"Michael, you don’t have to buy them.","I do. No. I do. I, I want to. Trust me. I really do.",Michael
17188,"Hey, I was thinking about dinner—","Ah, dinner. Let’s see, maybe we should try the new Italian place, where the drive-in used to be.",Jim
17189,Oh man. Talk about your classic “Lame dash O.” Do we even want that guy buying our paper?,Yes.,Michael
17190,Yeah.,What’s happening?,Michael
17191,"If you had some really big wings with blades on the end, you’d kind of look like Kerrigan from Starcraft.",Damnit. I AM Kerrigan from Starcraft! I’ve been censored.,Dwight
17192,"Would you let Charles know that David is here, please? Jim, hey.","Hey, David.",Jim
17193,Are you okay?,"Yeah, great! Amazing. Best physical condition of my life.",Michael
17194,What? Wait. The state transportation secretary will be there. You could sell your beet salt idea to the highway people.,"If I get the deicing gig, it’s not gonna be on merit. Not because I played politics.",Dwight
17195,"Then I would bring an axe, no books.","Uh, it has to be a book, Dwight.",Jim
17196,"C’mon Pam. Chins up, okay? Bad joke. Look around this room. Does this look like a group of losers? Seriously?",Oh. Oh God.,Pam
17197,You are right. I will call David and give him the customer list and I will give him all my info.,"Good, so, where are you going?",Dwight
17198,You too?,Did my scores drop a little?,Jim
17199,All right Jim. Your quarterlies look very good. How are things at the library?,"Oh, I told you. I couldn’t close it. So…",Jim
17200,You got a fax.,"Oh, thank you. Pam, can you come in here for a sec. Just have a seat. I was gonna call you in anyway. You know Ryan. As you know, there is going to be downsizing. And you have made my life so much easier in that I am going to have to let you go first.",Michael
17201,"WUPHF T-Shirts. Who wants one? Just imagine that you’re at spring break, Daytona Beach.",Here we go.,Michael
17202,Just go to his house and see if he’s sick. I could have done this Investigation in like twenty minutes.,Including prep time?,Dwight
17203,Come on.,You are the future!,Dwight
17204,"Okay, I’m not doing that.",Really? Too embarrassing for you? Huh? You wish that every exercise was strutting around the gym like the Fonz? Well how do you think the Fonz got so cool? He stretched his pelvic bowl!,Dwight
17205,"Okay, let’s go over non-discretionary cuts. Okay, guys? Thank you. So, umm…",Would you please stop that?,Jim
17206,Aww.,Yeah.,Jim
17207,I don’t get it. I don’t get what I did wrong.,"Not everything’s a lesson, Ryan. Sometimes you just fail. It’s those online paper jerks. The whole business is changing. You know what? They’re going to be screwed once this whole internet fad is over. What are you doing? Oh no no no no! Ryan! Yes! Ryan the temp! Come on! Courtesy of Dunder Mifflin. Come on! Drive.",Dwight
17208,I bet you are.,"Well, I saw – oh your Dundies. I’m surprised they’re not out on the coffee table for everybody to see.",Jim
17209,Yeah.,"We were joshin around, the two of us, and he said “did I stutter,” and I said “wha-wha-wha-wha-what, dawg?” It was joking, Toby, alright?",Michael
17210,"Hey Jim, I thought our call was for later.","Yeah, this is actually about the new sales guy. Uh, Dwight has brought in a bunch of real weirdos. And I was wondering if I could have some input—",Jim
17211,"Head table, where I belong.",It’s just for family.,Dwight
17212,In the fridge.,"No, Jim, the butt, in his butt.",Dwight
17213,Crystal.,There’s one more suggestion.,Dwight
17214,Sorry for wasting your time.,"Oh, no problem. And he signed! He put his name on the piece of – okay, that was supposed to be a blank canvas on which to put their hopes and dreams. And he just, made it into a stupid piece of paper. We need another one, immediately.",Michael
17215,"Hi, Pam.",Pretty disgusting.,Michael
17216,…wall-to-wall carpets…,"God, what a steal.",Dwight
17217,I’m sorry to hear the hotel was bad.,Oh and thanks for the tip on the concerige. That was great. That was great. That was— that was a—,Michael
17218,"Last year, idiot!",Dwight! Are your legs broken?,Jim
17219,Can I get a drink?,What?,Michael
17220,"Uh, yeah. Should have said so. Rha-dah-dah-dah! Give me the beat, boys, and free my soul. I wanna get lost in your rock and roll and drift away-he-hay. Ruu-da-doo-da-doo, ba-dit-da-doo-da-dun, Give me the beat, boys, and free my little-ole-soul, I wa–","I was thinkin’ about more like a CD, or… a CD.",Jim
17221,Popcorn.,"Why don’t you use the microwave in the kitchen, Phyllis?",Pam
17222,"All depends on the conference room meeting itself. Uh, okay.",Is that them again?,Pam
17223,That’s some extra income for you.,I am not going to rent the third bedroom. I want a price reduction or I am a-walkin.,Michael
17224,Whoa. Who is this guy?,Here’s the two of them taking a hike. I’m guessing he’s some kind of friend.,Dwight
17225,Bye bye now. So long.,"Oh my God, oh my God, oh my God.",Dwight
17226,Jesus.,Apollo Creed.,Michael
17227,"Well, this isn’t about work. This is closing on a condo, it’s completely personal.",So you’re taking a personal day?,Dwight
17228,These cookies are fine.,It’s not. They’re not. Fresh and new. Please let go. Please let go.,Michael
17229,That’s ok.,It’s a miracle.,Dwight
17230,Oh please.,A canoe built around your horse so you can go from riding to water travel without slowing down. Horse Boat!,Dwight
17231,Hey! Come on man!,"Come on! Hey, Dwight. Dwight!",Michael
17232,So she’s really going to be fine?,"Yes. She has a slight pelvical fracture, but, ah… people have survived far worse.",Michael
17233,"Uh,, well you’re the only one ‘on’ – we’re all here.","Right. Okay, uh, over the next three months…",Jim
17234,Chocolates.,"For you, job well done.",Michael
17235,Are you serious?,Yeah.,Jim
17236,"Why? Not only are you terrible at squash, but you don’t even seem to enjoy it. Jim, this is not enough of a challenge for me.","Well, that is… because you didn’t realize that… I was left-handed.",Jim
17237,…Chunky. Do you want half?,No thank you.,Pam
17238,Those aren’t chips and dip.,"No, I made brownies.",Pam
17239,Last night? Let’s see.,Go ahead. Don’t lie.,Dwight
17240,"OK, remember, be strong.",I love you guys. Now I’m getting her voicemail.,Michael
17241,Okay.,"So, um… we’ll do it after work. In the parking lot. In front of everyone. I’m going to hit you as hard as I can.",Pam
17242,"Yeah, yeah it’s just you know I don’t want to go home when he’s on his death bed you know, I wanna be there when he’s still my dad.","Yeah, yeah well you definitely need to do that.",Michael
17243,Pam? No!,"What? Honey, we talked about this.",Pam
17244,We’re not dating.,"No, but I’m saying hypothetically if we were dating…",Michael
17245,All right. Okay.,Ten minutes.,Pam
17246,I like her nails.,"Ok, be more specific.",Michael
17247,Really?,"Yes. He does not have the authority to say that. I, on the other hand, am the president, the owner, and the founder. It is like you are buying software from Bill Gates.",Michael
17248,"Hey Dwight, I bet I can stack faster than you can.","Please, I can double your pace.",Dwight
17249,There an accident? Somebody hurt?,"No, it’s… involves the photograph.",Dwight
17250,You mean on a weekend?,Yes.,Michael
17251,Um…,I saw you program it in.,Michael
17252,"Yeah, who wants to come in on a Saturday?","Yeah, what? Uh, alright, next suggestion.",Michael
17253,I had to make a snap decision Dwight.,"It wasn’t a snap decision, you were sitting there for an hour.",Dwight
17254,"Feelin’… feelin’ hot, hot, hot!",Hey.,Pam
17255,I have no idea.,"Oh, I know this guy. Hello! Mr. “Soo-ven-yay.” Mr. “Jacques Soo-ven-yay.” Nice to meet you. It says here you’re French. So you worked at your last job for 15 years as Assistant to the Regional Manager.",Jim
17256,"Seems a little close, you sure that’s the real foul line?","15 feet from the baseline, so, you need me to move it in?",Jim
17257,I’m great! How are you?,"I’m great! I saw your-your sign outside. And I decided, I’m going to pull in, and maybe buy a house from her.",Michael
17258,"Now, think about my journey here today, and let it inspire your journey.","Okay. Nellie, thank you. Thank you so much.",Dwight
17259,"It’s crazy what’s going on out there today, huh?","I know. Yeah, it’s…kinda–",Jim
17260,Am I getting fired?,"Now is really not the time, Meredith.",Michael
17261,"It is. Yeah, you would uh manage this office. Answer the phones and forward the calls and uh you know, go for a coffee run now and again.","So, kinda like a receptionist.",Pam
17262,Just wanted to draw a picture of him.,"Okay, your move.",Jim
17263,What do you mean?,"Well Monkey, he’s a real minister. And you said, “I do.” And I said, “I do.” And Andy wasn’t signing a receipt; he was signing our marriage certificate as a witness.",Dwight
17264,Did you see Holly’s butt?,"No, I didn’t. You know why?",Jim
17265,"Oh, no, that’s a male model.","No, that’s him.",Jim
17266,It’s Mike-raculous.,"Hoo-ooh! Reaching! You’ll get there. Anyway, I was giving it some thought, and there’s no reason that two attractive, good looking, intelligent, funny, attractive people can’t, you know, just… sit down and work this whole Meredith thing out.",Michael
17267,You have information about the sex predator?,I saw him two minutes ago.,Jim
17268,"Hey. You look just as I imagined you would. Pam, you’re so pretty.",Thank you.,Pam
17269,Yep.,Sorry.,Pam
17270,Everybody got a government cow.,"Cow surfing. Okay, here we go, there’s a cow.",Michael
17271,That’s just a verb.,Dragging sticks.,Jim
17272,"I couldn’t see your hands. Hey Pam, by the way, it’s great that you’re dating. But when a new client calls, you just have to randomly assign them to a sales person. You can’t base who gets new clients on who you’re sleeping with that week, OK?",OK.,Pam
17273,"No, Baah! But he’s married to her!","Oh, Dawson’s Creek.",Jim
17274,Then we can go to dinner.,I’ll make myself busy.,Pam
17275,"I’m sorry, how did you think I was expected to guess that?","I don’t know, but it’s interesting right?",Pam
17276,What is wrong with you? She is engaged.,Did you ever have intercourse in this office?,Michael
17277,Are you giving us our clients back?,"If we could just focus and go down the line, and everyone would say, “apology accepted”, I think we would all feel better. And then we can break out my gift to you–complimentary white chocolate bark.",Michael
17278,"OK, you don’t have any idea what I’ve been through, so, let’s…","No, I don’t!",Michael
17279,All life is sex. And all sex is competition.,Mm-hm.,Jim
17280,I’m standing. I’m a bridesmaid.,"Oh, I wish I was a bridesmaid. Where am I gonna go?",Michael
17281,"All right, you ready for this?","Yeah, we walk around, everyone sees our faces and we leave, right?",Pam
17282,Why on earth would we give you a raise?,"That is an excellent question. Thank you for asking. Let me bring up one word: dedication. I have never been late. Also, I have never missed a day due to illness. Even when I had walking pneumonia. I even come in on holidays.",Dwight
17283,That was the last signature I needed.,"Whoo!! Welcome welcome welcome welcome welcome. You are all jerks. Just kidding, not yet anyway. Welcome to the roast of Mr. Michael Scott. If you’re here for the Grabowski wedding, it is the second door on the left. So, we all know how these work, needs to get crazy, take your best shot. I am going to sit right here on my chair and… ah… whoever wants to come up and roast me, you may. Ok… lower the mic for the midget.",Michael
17284,… Marilyn Monroe!,Ryan started the fire! It was always burning…,Dwight
17285,"When I was very young, my mother divorced my father and I had to go to court and choose between them.","Too personal. I don’t wanna hear about it. Let’s try this. Put these on. I am going to turn this on, and turn the volume all the way up. So you can’t- That’s right, you’re not going to be able to hear yourself. Read this, and make it sound perfect.",Michael
17286,I have a special assignment for you.,Who’s the target?,Dwight
17287,"Really, Pam…",Yes she does. Yes she does. We’re all gonna go and we’re gonna have a good time.,Michael
17288,"No, thanks.",I’d like to give you $100 million.,Dwight
17289,"Ok, look. I know you are giving this speech on your own",I’ll glance at it.,Dwight
17290,"Yeah! All right. All right. That was awesome. All right, looks like the guitar player’s gonna take a little break. So this’d be a great time to head on over to the taco bar. All right.","That is a great way to kill this party. Not on my watch. Let’s, uh,… Let’s rock. Let’s rock some stuff here, okay? Okay… I’m hearing a little too much reverb. Can we down the reverb? All right. Follow my lead. Does you guys know that? Take the bass. Take the drums. What?",Michael
17291,"Michael, what if somebody asks you a question at this meeting? Are you just gonna wave, or what?",I will have to answer.,Michael
17292,But what are we going to do with this hacked off part?,"Well, that is a perfectly good mini-tree, Kevin. And we are going to sell that to charity. That’s what Christmas is all about.",Michael
17293,"Jim has no discernible sense of humor, Pam. You should know that.",I think he’s just making her laugh.,Pam
17294,You sell those two printers this morning? Nice work.,Child’s play. Give me something hard to sell.,Dwight
17295,Si.,"Wait, that’s it? That’s the question you’re going to ask him?",Pam
17296,It sounds mean.,"Shut it. No, it’s not. Okay, just give it a shot.",Michael
17297,"That doesn’t make sense, couldn’t be.","What is that? Dwight, are you peeing?",Michael
17298,Ahhh!,Phyllis! Phyllis! You okay? You okay?,Dwight
17299,"As a person who buys a lot of erotic cakes, it feels good to be represented on one.","You know what, I think we should get some other input.",Pam
17300,This is where I used to keep my computer.,"Oh, right! I remember…",Pam
17301,Scavenger hunt? Here. I can solve it. Give it. ‘The treasure you seek is in the parking lot under the first president.’,Lincoln.,Jim
17302,It’s not cause of the smell. I’m just expecting a nosebleed.,Oh my God.,Michael
17303,Tell me what you did yesterday.,I worked. And then I went home to my condo. And Carol came over. And then we had sex. Is that what you want to hear?,Michael
17304,Hi Dwight.,Hi Esther. Nice of you to come today.,Dwight
17305,"Wow, bad luck.","Yeah, whatever. Hey, you know what? If luck weren’t involved, I would always be winning. Oh, my God. Oh, my God.",Michael
17306,Back? Why is that Michael?,"Well, I ran down Meredith in my car.",Michael
17307,I did?,"No, you’re the best person for the job. You’re going to be great.",Michael
17308,No. I really don’t want to inconvenience you.,"God! No, no, no, no. No inconvenience. I mean I’m out of here at five sharp.",Michael
17309,Hello.,"Oh, Carol. Hello, how are you?",Michael
17310,Okay. Honestly. I didn’t call you back because I-thought you seemed a little… dorky.,"Hey, man.",Jim
17311,"Ok I’m gonna head outta here, I know you have a lot to talk about. Ok, is there a, an operating theater that’s open to visitors? Never mind I’ll find it.",He hasn’t changed.,Michael
17312,"Well, there’s a lot of pressure from my parents to settle down and marry an Indian guy.","Oh, good, and you resent this because…",Dwight
17313,"Yeah, just focus-grouping a product expansion idea to these folks. Got one of each.","Really? Hey, Stanley, what was the last thing Michael said before I came through the door?",Jim
17314,The Electric City. Scranton!,What?,Dwight
17315,"Babies sleep a lot Pam, if you feed them enough. Brownie Pam?",Thank you. Oh my gosh. It’s really good.,Pam
17316,Oh God.,"Is she hot? Text back, “Kind of.”",Dwight
17317,"Dwight. Dwight. Dwight! Okay, that’s it. Keep it in your pants.",I was just showing her my belt.,Dwight
17318,"Stop texting, put your phone away! Come on.","Michael, come on!",Jim
17319,"Well something’s come up, I have to go.",No no no no no! She’ll wake up!,Pam
